settlementdate,regionid,totaldemand
1/01/2010 0:05,NSW1 ,7946.51
1/01/2010 0:05,QLD1 ,5483.33
1/01/2010 0:05,SA1  ,1408.82
1/01/2010 0:05,TAS1 ,939.2
1/01/2010 0:05,VIC1 ,5220.78
1/01/2010 0:10,NSW1 ,7921.55
1/01/2010 0:10,QLD1 ,5482.7
1/01/2010 0:10,SA1  ,1395.02
1/01/2010 0:10,TAS1 ,950.63
1/01/2010 0:10,VIC1 ,5168.45
1/01/2010 0:15,NSW1 ,7837.84
1/01/2010 0:15,QLD1 ,5459.6
1/01/2010 0:15,SA1  ,1402.97
1/01/2010 0:15,TAS1 ,963.9
1/01/2010 0:15,VIC1 ,5139.08
1/01/2010 0:20,NSW1 ,7781.11
1/01/2010 0:20,QLD1 ,5383.13
1/01/2010 0:20,SA1  ,1387.66
1/01/2010 0:20,TAS1 ,957.19
1/01/2010 0:20,VIC1 ,5058.65
1/01/2010 0:25,NSW1 ,7685.53
1/01/2010 0:25,QLD1 ,5403.05
1/01/2010 0:25,SA1  ,1369.83
1/01/2010 0:25,TAS1 ,940.3
1/01/2010 0:25,VIC1 ,5072.13
1/01/2010 0:30,NSW1 ,7683.34
1/01/2010 0:30,QLD1 ,5321.7
1/01/2010 0:30,SA1  ,1347.08
1/01/2010 0:30,TAS1 ,934.31
1/01/2010 0:30,VIC1 ,5007.05
